id,degree,Y,catVar
1,10,0,a
2,2,0,b
3,15,0,a
4,1,1,d
5,30,0,b
6,100,0,a
7,2,0,b
8,2,0,b
9,30,0,b
10,15,0,b
11,8,1,d
12,6,0,b
13,20,0,a
14,40,0,b
15,40,0,a
16,70,0,a
17,150,0,a
18,5,0,b
19,8,0,a
20,7,1,d
21,8,0,b
22,60,0,b
23,50,0,a
24,30,0,b
25,10,0,b
26,4,1,d
27,75,1,d
28,10,0,a
29,20,0,a
30,2,1,d
31,4,0,b
32,10,0,a
33,15,0,a
34,20,1,d
35,3,0,b
36,4,1,d
37,4,0,b
38,11,0,a
39,20,1,c
40,20,0,a
41,10,0,b
42,25,0,a
43,1,0,a
44,5,0,a
45,6,0,a
46,2,0,b
47,250,0,b
48,3,0,b
49,2,0,b
50,7,0,a
51,3,0,b
52,350,0,b
53,9,0,b
54,8,0,a
55,3,0,b
56,7,0,a
57,5,0,b
58,11,0,a
59,6,1,d
60,14,1,c
61,10,1,c
62,2,0,a
63,30,1,d
64,10,0,b
65,60,0,b
66,70,0,b
67,3,0,b
68,20,1,c
69,3,0,a
70,20,0,b
71,1,0,b
72,10,0,b
73,45,0,b
74,4,0,b
75,20,0,b
76,80,0,b
77,1,0,a
78,4,0,a
79,20,1,c
80,25,0,b
81,150,0,a
82,10,0,b
83,25,1,d
84,2,0,b
85,15,0,b
86,1,0,b
87,20,0,a
88,15,0,a
89,80,0,b
90,3,0,b
91,6,0,b
92,6,0,b
93,4,0,b
94,50,0,a
95,135,1,c
96,80,0,b
97,20,0,b
98,10,0,b
99,100,0,b
100,10,0,b
101,2,0,a
102,18,0,a
103,3,0,b
104,40,0,b
105,10,0,a
106,7,0,b
107,1,0,b
108,500,0,b
109,140,1,d
110,5,0,b
111,40,0,b
112,90,1,d
113,5,0,b
114,25,1,d
115,4,0,b
116,10,1,c
117,100,0,b
118,4,0,b
119,15,0,b
120,15,0,b
121,1,0,b
122,4,0,b
123,2,0,b
124,1,0,a
125,4,0,a
126,30,0,b
127,40,0,b
128,10,0,a
129,20,0,b
130,20,0,b
131,4,0,b
132,1,0,a
133,50,1,d
134,4,0,b
135,150,1,d
136,6,1,d
